State,County,TotalPopulation,MedianHouseholdIncome,IncomePerCapita,PovertyRate,EmployedPersons,ProfessionalOccupationRate,ServiceOccupationRate,DrivingCommuteRate,WorkFromHomeRate,CrimeRate2016,ChildPovertyRate,UrbanizationLevel,MajorPoliticalParty2020,CostOfLiving,GoodAirQuality
Alaska,Hoonah-Angoon Census Area,2146,57900,33704,11.1,1039,32.5,22.0,38.1,10.3,0.0,24.6,11,1,78685,0.88
Washington,Ferry,7568,41081,21951,21.2,2465,37.0,16.7,65.1,8.7,4.0,24.8,11,0,64974,0.93
Texas,Falls,17289,38834,17755,25.2,5774,23.0,19.1,78.0,3.2,8.0,37.7,10,1,62577,0.75
West Virginia,Braxton,14345,41266,20633,22.1,5320,28.5,18.1,79.6,4.8,16.0,33.6,11,1,74944,0.90
South Carolina,Lexington,281870,57482,29311,12.8,136891,37.0,15.0,83.9,3.9,27.0,18.7,3,1,69201,0.87
Minnesota,Becker,33552,55884,28525,12.7,16143,32.8,17.7,78.9,7.2,9.0,17.1,9,0,66041,0.93
Pennsylvania,Armstrong,66737,47527,25502,13.0,29713,28.3,19.0,83.3,3.5,7.0,20.1,10,1,73726,0.75
Georgia,Burke,22645,38707,19720,29.2,8671,28.0,18.1,87.7,2.7,4.0,47.4,11,1,67744,0.95
Missouri,Gentry,6688,43777,20903,18.1,3037,31.5,19.6,77.1,4.1,7.0,24.0,11,1,65223,0.83
Colorado,Huerfano,6498,35801,25547,14.8,2408,31.8,23.2,75.4,6.3,35.0,20.0,11,0,68519,0.74
Florida,Collier,356774,62407,41239,12.8,150802,30.6,24.2,74.6,7.3,14.0,22.8,3,1,81649,0.85
Tennessee,Weakley,33776,36550,19699,20.5,14098,31.3,18.2,86.2,1.3,20.0,26.9,10,1,57684,0.85
Colorado,Gilpin,5793,72544,45110,5.6,3399,44.4,23.1,74.9,13.6,44.0,5.5,10,0,90846,0.74
Kentucky,Grayson,26129,35944,19520,25.7,10491,26.0,15.5,80.4,2.5,12.0,37.0,11,0,65994,0.94
Alabama,Geneva,26572,39293,21084,22.5,10306,22.9,17.3,83.5,3.1,26.0,37.6,11,1,64943,0.81
Texas,Ector,155744,59528,27728,12.3,72576,23.4,15.7,81.1,2.2,46.0,15.6,1,1,72898,0.75
Washington,Skamania,11498,53606,28644,13.3,4934,34.8,15.8,75.2,9.9,6.0,18.4,10,0,78100,0.93
Indiana,Dubois,42379,57307,28302,10.0,21928,31.6,14.9,88.0,4.3,9.0,11.8,7,1,64080,0.85
New Mexico,McKinley,72849,30336,14077,37.5,23207,29.4,25.1,74.8,9.5,35.0,45.7,8,0,62526,0.68
Georgia,Pierce,19141,39863,23754,21.0,7555,30.9,16.9,84.4,3.2,23.0,28.3,9,0,60122,0.83
North Carolina,Mecklenburg,1034290,61695,35669,13.4,537798,43.4,15.9,77.4,6.7,16.0,18.4,10,0,66144,0.94
Montana,Sweet Grass,3646,49761,28065,10.4,1621,32.9,11.8,65.2,11.4,5.0,15.9,11,1,74049,0.92
Texas,Swisher,7541,37883,18878,22.2,2704,30.3,19.2,83.3,4.5,35.0,30.8,10,1,61938,0.75
Washington,Kittitas,43726,53163,26698,19.6,20901,33.0,22.4,72.6,5.1,24.0,11.9,10,0,74133,0.93
Arizona,Graham,37700,48173,17874,21.4,12412,28.3,21.1,76.8,3.3,6.0,28.7,11,1,66326,0.80
Missouri,Bates,16405,45605,25873,14.3,7261,27.1,20.1,74.6,8.1,24.0,19.2,10,1,69835,0.83
South Dakota,Moody,6496,56233,27774,15.9,3307,33.8,16.8,78.7,6.8,14.0,23.4,10,1,68235,0.92
Texas,Scurry,17346,54565,24140,12.8,6772,23.7,17.4,82.2,1.6,23.0,17.2,10,1,64766,0.75
Alabama,Madison,353213,61318,34232,13.6,169756,46.3,15.2,87.7,3.4,24.0,20.0,10,1,63503,0.75
Michigan,Muskegon,172707,46077,22829,18.5,73192,28.0,19.7,83.9,2.9,34.0,26.6,2,0,67131,0.81
South Carolina,Horry,310186,46475,25804,17.0,138429,27.6,25.8,83.7,4.0,43.0,29.4,4,1,64484,0.87
California,Alpine,1203,63438,27448,19.8,374,38.2,21.9,62.1,14.0,34.0,17.3,10,0,85778,0.68
Missouri,Bollinger,12347,40791,20687,19.9,4995,24.4,17.5,71.2,4.1,19.0,29.2,10,1,71995,0.83
Oklahoma,Craig,14563,40465,20666,17.9,5783,27.8,21.4,83.9,3.8,6.0,24.5,10,0,68385,0.94
Texas,Young,18166,46351,25661,16.5,8248,31.5,17.8,83.0,6.1,14.0,25.9,8,1,61392,0.75
Washington,Pend Oreille,13066,49184,26128,16.6,4401,33.9,18.0,75.3,7.2,22.0,18.5,11,0,70299,0.93
Minnesota,Ramsey,537893,60301,32544,15.0,278185,43.6,17.6,73.3,5.5,31.0,22.3,8,1,64780,0.95
Indiana,Warrick,61581,66080,33528,7.7,31003,39.3,14.4,88.4,2.6,15.0,10.1,10,1,78268,0.85
Texas,Nueces,358484,53317,26780,16.7,165116,29.4,21.3,83.0,2.3,46.0,23.8,0,1,69446,0.75
Washington,Whitman,47794,41574,22154,27.5,22218,48.2,18.8,59.6,5.1,22.0,14.7,11,0,68634,0.93
Indiana,Hendricks,158170,74245,33031,5.1,81408,40.4,14.5,87.5,4.3,13.0,5.9,3,1,84969,0.85
Virginia,Buckingham,17048,46610,19702,16.6,6543,27.8,22.8,81.1,3.6,10.0,21.4,11,0,71604,0.94
Iowa,Dickinson,17000,59889,36588,8.1,9177,36.1,14.6,81.2,5.3,12.0,9.2,10,1,66982,0.88
Mississippi,Rankin,149645,61605,29055,8.5,71953,40.1,15.1,87.4,2.5,8.0,9.2,3,1,72347,0.84
California,Los Angeles,10105722,61015,30798,17.0,4805817,36.4,19.0,73.7,5.3,32.0,24.0,3,0,97766,0.68
Indiana,Kosciusko,78720,57190,27884,11.2,38265,28.6,13.3,80.8,3.6,15.0,16.1,10,1,66799,0.85
New Hampshire,Grafton,89280,61036,35255,10.9,45847,41.9,19.1,73.7,5.3,17.0,14.5,8,0,73296,0.95
Kentucky,Knott,15690,30503,17670,32.6,4707,31.2,21.5,82.2,2.0,2.0,48.2,11,1,61684,0.85
Iowa,Ringgold,4986,50642,27621,10.9,2134,32.6,18.5,80.7,9.4,7.0,8.6,11,1,65166,0.88
Utah,Salt Lake,1106700,67922,30134,10.4,564689,38.8,14.8,75.2,5.6,49.0,13.1,3,1,80189,0.73
Colorado,Summit,29722,73538,37192,10.3,19358,27.8,29.2,72.4,8.1,25.0,15.3,9,0,96166,0.74
Texas,Deaf Smith,18947,51543,21209,18.0,8619,27.7,12.8,85.0,2.2,28.0,26.8,11,1,63621,0.75
Michigan,Chippewa,38023,44030,21958,17.1,14986,29.1,27.0,77.4,3.6,13.0,24.4,8,0,64809,0.93
Georgia,Oglethorpe,14654,43938,21858,17.6,6390,30.4,13.6,85.6,3.8,22.0,30.6,10,0,65148,0.83
Minnesota,Crow Wing,63505,53121,30013,9.6,30124,32.9,20.3,83.3,5.2,25.0,11.1,11,0,64552,0.93
Tennessee,Trousdale,8773,41776,22863,13.3,3834,25.2,20.9,78.0,4.9,20.0,14.8,10,1,69028,0.85
Arkansas,Crawford,62119,43504,22104,16.6,25751,29.7,16.4,86.9,2.0,23.0,24.3,10,0,63207,0.83
Texas,Garza,6739,53832,20635,13.5,2445,30.3,22.3,71.5,0.1,10.0,26.1,9,1,62538,0.75
Texas,Andrews,17577,70753,29903,11.9,8054,21.3,13.0,79.8,2.5,27.0,15.5,7,1,68704,0.75
Montana,Chouteau,5812,39577,22014,20.3,2490,39.0,19.2,63.7,15.3,16.0,26.7,11,1,70883,0.92
Michigan,Ontonagon,6072,36073,22958,15.5,2021,26.3,25.1,80.8,5.9,10.0,24.7,11,0,71014,0.81
New Mexico,Quay,8447,26663,18220,21.6,3015,33.8,21.7,75.8,8.3,22.0,37.2,11,0,63334,0.68
Maine,Androscoggin,107317,49538,26276,14.3,53532,33.2,19.3,78.8,4.1,18.0,19.8,9,0,72406,0.95
North Carolina,Rutherford,66523,38573,21092,19.6,25992,28.9,17.7,80.0,3.4,29.0,27.3,7,0,64234,0.88
California,Napa,141005,79637,40632,8.2,71110,36.3,21.2,76.1,5.6,23.0,9.0,5,0,112512,0.68
Georgia,Peach,27027,43645,22388,18.7,11282,29.0,17.9,79.2,1.7,31.0,26.3,9,0,66974,0.83
Georgia,Crisp,23005,33194,21225,31.2,8481,28.7,20.0,83.8,2.8,47.0,40.6,9,0,59756,0.83
Texas,Lynn,5785,44922,26758,18.0,2419,31.1,14.3,76.0,2.7,12.0,26.9,10,1,65509,0.75
Nevada,Storey,3891,63607,36388,7.7,1768,30.3,23.4,82.8,4.5,28.0,16.4,9,0,74312,0.81
Colorado,Prowers,12084,41740,22033,18.3,5372,32.9,19.0,77.0,7.0,15.0,23.5,11,0,64609,0.74
South Dakota,Fall River,6783,48862,26584,15.0,3208,32.7,25.4,72.9,6.8,7.0,24.5,11,1,73246,0.92
Alaska,Aleutians East Borough,3338,66607,31254,16.7,2405,16.3,13.6,26.4,5.3,0.0,20.0,11,1,76654,0.88
South Carolina,Bamberg,14842,32330,19256,24.5,5592,32.1,19.4,81.3,1.7,39.0,40.7,9,1,57945,0.87
Texas,Colorado,20913,50241,26689,12.0,9491,29.4,17.9,85.8,3.5,13.0,15.3,8,1,61798,0.75
Georgia,Early,10405,29493,17972,27.5,3682,29.9,12.4,88.8,0.3,23.0,42.3,7,0,60911,0.83
North Dakota,Stutsman,21058,56088,31182,11.1,11038,36.7,20.9,80.5,3.9,29.0,18.0,11,1,64021,0.95
Tennessee,McNairy,25945,34353,19745,21.6,9313,27.9,14.9,86.8,5.4,25.0,26.8,7,1,59141,0.85
Georgia,Camden,52252,53687,26854,12.7,21015,33.0,19.6,84.0,1.8,7.0,20.2,9,0,82143,0.88
Illinois,Brown,6791,56289,21906,11.6,2418,27.4,17.0,84.3,7.7,9.0,15.1,11,1,80211,0.93
Louisiana,Pointe Coupee,22271,43964,27160,17.5,9422,22.6,21.1,80.4,2.7,18.0,25.0,11,1,73108,0.84
Georgia,Rabun,16354,39297,26942,20.3,6259,33.4,19.3,74.7,4.4,21.0,30.6,9,0,60714,0.83
Ohio,Auglaize,45778,59516,28340,9.0,23229,29.8,14.5,87.6,2.7,10.0,12.4,6,1,62890,0.83
Oklahoma,Dewey,4904,52930,25821,18.6,2086,30.4,16.6,80.7,9.2,10.0,30.0,11,1,72550,0.72
Georgia,Coweta,138015,67570,31548,11.6,66983,34.7,15.8,81.5,4.8,19.0,16.6,6,0,77074,0.83
South Carolina,Williamsburg,32256,30976,17440,28.2,11370,22.9,21.6,84.2,2.9,39.0,41.4,10,1,56143,0.87
South Dakota,Sully,1390,60694,39888,3.3,728,42.3,10.3,68.6,14.5,1.0,0.9,11,1,69167,0.92
Texas,Denton,781321,80290,37928,8.4,419189,46.0,13.9,80.9,7.1,15.0,9.4,3,1,78566,0.75
Texas,DeWitt,20474,50960,28116,16.0,7965,30.5,18.3,85.0,3.9,23.0,20.2,11,1,62503,0.75
Georgia,Murray,39444,41617,19084,18.0,16748,17.0,14.6,87.8,0.7,12.0,26.6,11,0,68020,0.93
Texas,Comal,129100,73655,35841,9.2,59833,39.0,14.7,80.7,7.6,14.0,14.1,2,1,75114,0.75
Vermont,Chittenden,160985,66906,36384,11.3,90054,47.6,16.0,73.3,5.4,22.0,12.2,4,0,104537,0.90
Texas,Rusk,53026,49270,23521,15.8,20340,26.7,18.2,86.7,3.3,12.0,23.1,10,0,75006,0.88
Missouri,Hickory,9352,34746,19711,23.3,3207,25.9,18.6,80.4,4.1,10.0,37.2,11,1,58600,0.83
Colorado,Montrose,40908,44865,24308,17.8,17047,31.9,19.7,80.8,4.7,25.0,28.0,11,0,70903,0.74
Michigan,Arenac,15238,39947,22622,18.5,5842,25.6,21.1,83.6,3.0,11.0,29.2,10,0,65154,0.81
Colorado,Dolores,1736,40352,23190,14.1,797,26.3,24.3,60.3,8.9,9.0,19.7,11,0,68848,0.74
Kentucky,Elliott,7533,29043,13436,34.4,1790,21.3,19.4,81.3,3.2,1.0,45.5,11,1,61016,0.85
Louisiana,Vernon,51906,46620,22583,16.9,17386,30.7,19.2,85.0,1.9,24.0,22.6,11,1,69990,0.84
Maryland,Frederick,246105,88502,39566,7.2,130387,46.1,15.5,78.1,6.1,12.0,9.1,5,0,83817,0.94
Missouri,Cape Girardeau,78013,49554,25965,17.7,37488,34.4,20.0,83.1,2.9,29.0,21.2,9,1,75108,0.83
Michigan,Otsego,24247,50823,26012,14.9,10894,29.4,19.2,82.4,2.6,23.0,23.0,10,0,67591,0.81
New York,Schenectady,155239,61315,29981,12.4,73044,38.1,19.1,81.4,3.1,29.0,19.7,9,0,87445,0.90
Wisconsin,Barron,45358,49257,26935,11.5,22255,28.9,16.2,80.2,6.3,12.0,16.2,11,0,73995,0.88
North Carolina,Granville,58503,52089,24859,14.3,25650,33.3,17.4,84.6,2.9,26.0,18.4,7,0,68164,0.88
Alaska,Bristol Bay Borough,917,79500,42002,7.1,508,30.5,18.5,58.9,3.1,24.0,11.6,11,1,84918,0.88
Georgia,Towns,11173,41182,22301,14.7,3955,30.3,24.8,79.8,5.4,17.0,22.6,11,0,62820,0.83
Colorado,Moffat,13056,53010,27331,10.1,6373,27.7,16.9,72.6,3.6,23.0,8.6,11,0,68578,0.74
Alabama,Morgan,119157,47529,25013,16.6,50611,30.3,16.2,89.7,1.5,8.0,24.6,7,0,69236,0.83
Texas,Palo Pinto,28109,45067,24840,18.3,11724,24.3,20.0,81.7,4.5,27.0,28.3,7,1,62125,0.75
North Carolina,Pamlico,12803,45211,25461,15.1,5015,29.3,17.6,76.9,7.7,17.0,29.1,10,0,74668,0.88
Indiana,Posey,25599,60992,30763,9.5,12454,31.7,17.6,89.6,3.5,11.0,10.5,10,1,72912,0.85
Florida,Sarasota,404839,55236,37054,10.5,160224,34.2,21.8,83.1,6.6,20.0,16.7,3,1,80503,0.85
North Dakota,Burleigh,92372,67308,36483,8.5,51229,39.6,16.0,85.0,3.7,30.0,8.9,10,1,81075,0.95
Oregon,Hood River,22938,57269,29595,12.1,11263,35.6,15.1,68.3,11.2,16.0,18.2,10,0,89890,0.87
Minnesota,Lake of the Woods,3841,46943,24964,7.4,2053,22.0,15.7,65.4,10.9,2.0,8.2,11,0,67347,0.93
North Carolina,Stanly,60875,46017,23398,15.7,27689,28.8,21.2,83.5,4.1,21.0,23.9,7,0,63872,0.88
North Carolina,Nash,94125,46187,25232,15.9,42367,31.2,16.2,84.3,3.0,25.0,22.2,2,0,66520,0.88
Georgia,Ware,35688,36962,19246,24.8,13208,25.6,16.1,83.7,2.4,49.0,39.9,9,0,58977,0.83
Minnesota,Carver,98799,93095,44212,4.0,55757,46.5,14.3,82.5,6.4,9.0,3.3,3,0,97039,0.93
Michigan,Shiawassee,68617,50967,25218,13.1,30786,28.0,16.7,81.8,5.4,16.0,19.2,10,0,63563,0.81
Washington,Kitsap,258903,68336,34412,9.9,112032,38.9,18.8,68.7,6.1,28.0,12.1,2,0,88041,0.93
Michigan,Genesee,410881,45231,25180,20.0,166919,31.5,19.5,84.6,3.1,22.0,29.9,7,0,71480,0.90
Wisconsin,Price,13566,45680,27161,11.9,6571,26.7,18.0,78.7,5.0,12.0,12.7,11,0,74014,0.88
Virginia,Colonial Heights city,17582,50952,27608,13.2,7587,36.4,16.6,86.2,2.2,48.0,19.7,3,0,79201,0.94
Idaho,Shoshone,12490,39835,23834,17.4,4970,26.1,23.7,74.8,5.7,23.0,27.4,11,1,67643,0.88
California,Mono,14058,60595,30888,9.9,7864,37.0,30.3,44.8,9.3,15.0,12.0,11,0,87316,0.68
Illinois,Tazewell,134695,60874,32082,8.0,63912,35.1,16.4,87.5,2.8,24.0,9.9,7,0,63586,0.94
New Mexico,De Baca,2016,31439,24571,22.7,675,32.9,16.9,70.7,9.9,19.0,22.4,11,0,69348,0.68
Montana,Carbon,10466,56988,31697,9.9,5127,38.5,18.6,61.9,12.9,24.0,10.9,11,1,86608,0.90
Mississippi,Itawamba,23439,38358,20859,18.4,9392,23.0,15.5,84.5,3.1,5.0,23.8,9,1,59766,0.84
Indiana,Miami,36035,46666,22890,16.0,15337,24.6,18.1,86.9,1.9,20.0,24.9,7,1,63757,0.85
Arkansas,Logan,21802,37982,19708,20.2,8339,27.5,19.6,81.5,5.3,0.0,29.7,11,1,81073,0.93
Texas,Tarrant,1983675,62532,30857,13.5,974947,36.6,16.2,82.5,4.3,30.0,19.4,3,1,72592,0.75
Kansas,Kingman,7576,57593,30927,7.6,3648,32.6,14.4,81.2,5.4,23.0,9.6,10,1,71244,0.80
Virginia,Lynchburg city,79237,41971,22439,22.3,35605,37.9,22.4,74.6,3.7,27.0,29.3,2,0,70635,0.94
Georgia,Appling,18471,37089,19936,24.7,6951,26.0,13.9,82.9,2.6,42.0,31.8,11,0,59780,0.83
Minnesota,Winona,50992,53975,27200,14.5,28578,35.1,18.7,76.6,4.4,21.0,11.5,7,0,69847,0.93
Minnesota,Roseau,15537,56273,27935,9.2,8329,27.8,13.0,76.7,5.3,11.0,13.5,8,0,62996,0.93
Virginia,Danville city,41911,34951,21882,21.5,16814,30.4,22.3,80.5,2.6,45.0,31.1,7,0,61227,0.94
Nebraska,Saunders,20953,65015,31163,9.0,11034,35.6,16.5,84.1,3.9,7.0,14.4,9,1,78308,0.93
Colorado,Saguache,6338,34765,22267,21.0,2465,30.5,13.5,71.8,8.3,16.0,27.2,11,0,67696,0.74
California,Lassen,31470,54083,20974,14.6,9052,28.4,28.8,80.1,5.8,25.0,20.7,8,0,79987,0.68
South Carolina,Barnwell,21788,34035,20018,27.0,8004,23.9,20.0,87.0,1.7,43.0,42.8,10,1,55050,0.87
Colorado,El Paso,674826,62535,31217,11.1,304289,40.8,18.4,77.5,6.3,31.0,14.2,10,0,81771,0.74
Louisiana,East Baton Rouge,446167,51436,30162,19.1,216397,38.1,18.7,82.9,2.8,47.0,25.8,1,1,74028,0.84
Minnesota,Anoka,344861,76796,34321,6.6,187986,36.6,15.9,82.2,4.5,22.0,9.3,9,0,91446,0.93
Kentucky,Garrard,17226,47906,24874,18.2,7339,29.9,17.8,80.3,5.7,8.0,26.6,7,1,63354,0.85
New Jersey,Salem,63776,63934,31681,14.2,29365,32.5,16.5,83.8,2.5,19.0,26.2,3,0,81947,0.84
Virginia,Accomack,32840,42260,24266,19.8,13837,31.1,17.7,80.0,4.5,17.0,31.8,10,0,65524,0.94
Iowa,Des Moines,39876,47524,27168,15.3,19302,27.8,18.4,82.8,3.2,48.0,23.8,8,1,65297,0.88
Mississippi,Alcorn,37242,38919,20527,19.6,14884,29.2,14.9,85.9,1.7,0.0,24.1,8,1,57904,0.84
New Mexico,Harding,546,35096,30782,19.8,201,42.8,14.4,50.0,23.2,0.0,30.7,11,0,69480,0.68
Texas,Wise,63247,59081,27447,13.0,27736,29.6,15.0,82.2,5.7,10.0,20.4,10,1,74113,0.75
Oklahoma,Pittsburg,44673,44941,24408,17.1,18265,29.1,18.9,83.5,2.0,34.0,22.6,10,1,70494,0.72
Colorado,Hinsdale,820,53056,29574,12.0,399,44.6,19.0,67.4,3.6,13.0,18.9,11,0,73190,0.74
Washington,Snohomish,771904,78020,35737,8.8,390186,38.9,16.3,74.7,5.2,28.0,11.1,1,0,97753,0.93
North Carolina,Durham,300865,56393,33151,16.4,154374,49.0,17.0,76.8,5.0,36.0,24.5,9,0,78649,0.88
South Dakota,Bon Homme,6972,52923,24858,10.3,2897,40.5,18.2,71.9,11.2,0.0,14.3,11,1,69570,0.92
Hawaii,Maui,164094,72762,32379,10.0,83785,29.0,28.4,73.3,5.6,39.0,11.8,11,0,109523,0.99
Georgia,Jenkins,8929,27197,15149,30.7,3296,25.5,26.9,79.8,3.7,16.0,45.6,7,0,60194,0.83
Georgia,Taliaferro,1844,30500,17939,31.0,627,19.5,21.5,74.0,1.6,20.0,49.5,11,0,62081,0.83
Kansas,Labette,20553,45706,22841,17.8,9514,32.6,20.3,84.4,3.2,39.0,26.7,8,1,63371,0.80
North Dakota,Grand Forks,70130,51410,30465,17.0,38387,35.5,19.7,82.0,3.5,31.0,15.2,2,1,83376,0.95
Iowa,Lyon,11745,62012,28356,4.9,6004,37.7,15.6,79.3,7.2,8.0,5.6,10,1,66837,0.85
Texas,Yoakum,8481,62500,23681,12.3,3755,21.8,16.9,78.0,1.3,17.0,14.6,11,1,61869,0.75
Maryland,Dorchester,32386,50532,28911,15.4,15240,31.8,20.0,78.4,2.6,34.0,25.7,7,0,66107,0.85
Kentucky,Oldham,64633,92237,38063,5.6,30706,45.1,13.1,85.1,6.2,6.0,7.2,11,1,72534,0.75
South Carolina,McCormick,9694,40622,22836,20.1,2720,24.2,22.5,88.5,1.9,21.0,45.4,11,1,57039,0.87
Indiana,Ohio,5911,58359,27715,5.0,3041,24.9,23.3,84.0,1.7,0.0,2.9,10,1,70719,0.85
California,Kings,150183,49742,19835,20.9,53158,24.4,21.4,75.6,5.0,25.0,28.7,7,0,73179,0.68
California,Butte,225207,46516,26304,20.5,93439,35.9,22.2,75.0,5.7,1.0,21.5,11,1,72781,0.88
Florida,Bay,180117,50283,26742,15.4,80334,32.0,22.2,81.7,3.3,40.0,22.1,2,1,72379,0.85
Michigan,Montmorency,9290,39152,23155,15.1,2971,23.9,21.8,84.1,5.5,4.0,23.5,11,0,66107,0.81
Michigan,Macomb,864019,58175,29740,11.8,414453,34.4,17.6,87.3,2.5,20.0,17.6,3,0,74762,0.81
Florida,Dixie,16323,35910,19342,23.7,4798,25.9,17.3,77.1,5.8,24.0,32.9,8,1,65216,0.85
Virginia,Fairfax city,23580,106870,46489,7.8,12834,53.0,18.1,69.6,7.2,18.0,6.2,3,0,105521,0.94
Missouri,Scotland,4883,42939,23785,16.7,2156,34.5,17.7,69.9,14.1,12.0,25.5,11,1,69651,0.83
South Dakota,Hand,3303,50720,33109,8.2,1697,39.7,13.4,74.8,13.1,6.0,11.6,11,1,68646,0.92
Minnesota,Goodhue,46138,62431,33477,10.8,23976,35.9,17.8,81.0,5.2,19.0,15.8,9,0,68843,0.93
Washington,Whatcom,212738,56419,29186,15.3,102696,35.3,19.8,75.2,5.9,31.0,14.1,9,0,83567,0.93
Minnesota,Sibley,14888,60848,29884,8.5,7794,29.1,14.6,79.4,7.8,7.0,12.4,10,0,77166,0.93
Virginia,Covington city,5675,35546,22098,19.9,2173,18.3,18.6,90.6,2.5,25.0,31.7,7,0,64026,0.94
Virginia,Alexandria city,154710,93370,57019,10.5,95344,58.5,16.0,58.2,5.2,20.0,17.7,1,0,101532,0.94
Georgia,Dodge,21063,35290,18563,22.2,7684,33.6,15.7,82.2,2.2,43.0,30.6,7,0,59368,0.83
Minnesota,Faribault,13966,50847,29116,11.5,7091,32.7,15.4,80.1,6.6,10.0,16.4,7,0,66212,0.93
Oklahoma,Beaver,5445,52571,25935,11.7,2492,33.8,12.6,81.7,6.5,9.0,16.4,11,1,69572,0.72
Michigan,Hillsdale,45909,46160,23831,17.0,19345,27.9,16.5,80.3,5.1,11.0,25.2,7,0,64479,0.81
Minnesota,Fillmore,20825,57093,28441,11.3,10671,34.8,16.7,72.5,7.7,3.0,17.9,11,1,70155,0.93
Iowa,Kossuth,15166,54868,29949,10.0,7646,35.1,13.5,82.4,5.7,6.0,14.1,11,1,66742,0.88
California,El Dorado,185015,74885,38156,9.8,80373,41.4,19.0,77.8,8.3,18.0,11.6,6,0,96977,0.68
South Carolina,Hampton,20066,32147,17676,18.4,7429,23.8,21.8,81.1,1.4,37.0,24.6,11,1,60741,0.87
Kansas,Seward,22948,47535,21158,18.8,10866,20.6,15.1,71.6,3.7,5.0,27.2,11,1,74953,0.93
Virginia,King William,16329,67423,31192,10.9,8284,34.9,11.1,87.9,3.8,6.0,24.8,10,0,83493,0.94
Kansas,Republic,4705,43489,27121,11.7,2390,38.9,14.8,81.2,8.4,12.0,19.1,11,1,67156,0.80
Florida,Suwannee,43814,40600,21565,20.4,16629,24.5,25.9,77.1,4.0,20.0,35.3,8,1,63603,0.85
Utah,Rich,2307,52917,19512,18.0,671,29.2,11.9,70.3,9.4,13.0,20.5,11,1,74447,0.73
Kentucky,Boyd,48486,45543,26420,19.3,18235,36.3,17.9,82.8,1.5,0.0,27.5,11,1,81021,0.93
Illinois,De Witt,16176,55411,27866,13.3,8112,29.5,17.8,84.8,4.8,2.0,21.3,7,0,73608,0.80
Minnesota,St. Louis,200294,50936,29197,15.4,98224,35.6,21.1,78.8,3.9,33.0,17.2,2,0,77578,0.93
Oregon,Yamhill,102366,58392,28540,13.7,45842,33.0,19.4,75.2,5.6,18.0,19.5,7,0,91956,0.87
Texas,Atascosa,48139,55194,23973,14.6,20208,25.8,21.1,76.9,5.9,28.0,22.5,7,1,65128,0.75
Kentucky,Todd,12377,38248,19555,20.1,4759,25.6,12.2,83.8,3.6,10.0,25.0,10,1,68357,0.85
California,Riverside,2355002,60807,25700,15.6,978726,29.4,21.4,77.2,5.2,30.0,21.3,1,0,83185,0.68
Alabama,Coffee,51073,49821,26216,16.1,21639,31.6,17.3,86.6,2.8,21.0,26.3,8,0,58709,0.83
Colorado,Pitkin,17747,67755,65800,7.1,11435,41.6,22.2,51.8,12.7,27.0,5.9,8,0,94933,0.74
Maryland,Caroline,32785,52469,25355,16.5,15674,27.6,21.5,83.7,2.6,12.0,25.6,9,0,84510,0.94
North Dakota,Bottineau,6651,58767,35698,8.6,3283,36.8,20.0,76.0,7.9,12.0,9.0,11,1,64784,0.95
Montana,Wibaux,1121,47132,24662,10.8,563,41.6,17.6,71.1,13.0,2.0,9.1,11,1,81245,0.92
Illinois,Bond,17034,54393,24473,15.7,7483,24.5,18.5,77.0,4.5,11.0,21.8,7,0,74333,0.80
Oregon,Klamath,66018,42531,23793,18.7,26034,29.0,21.3,79.9,6.0,13.0,24.7,11,0,75849,0.87
Indiana,LaPorte,110839,49921,25004,16.6,47222,26.6,19.5,83.5,3.7,29.0,28.7,2,1,69602,0.85
Pennsylvania,Forest,7388,37106,14989,14.1,751,24.5,22.6,80.2,3.3,16.0,38.3,11,0,72101,0.88
Oklahoma,Washita,11550,51909,26409,14.2,4933,31.6,15.2,85.2,5.4,19.0,20.6,10,1,73757,0.72
Massachusetts,Barnstable,213900,68048,40886,7.5,104246,37.9,21.2,81.1,6.3,18.0,11.7,9,0,106175,0.90
Indiana,Steuben,34459,52749,26902,10.1,17154,25.6,15.3,82.0,3.7,14.0,15.6,9,1,66950,0.85
California,Sacramento,1495400,60239,29693,16.7,666790,38.4,19.6,77.1,5.5,30.0,22.6,3,0,87805,0.68
Louisiana,Jefferson Davis,31405,40744,23068,19.6,12173,27.0,19.3,81.9,1.6,0.0,24.2,10,1,60038,0.84
New Hampshire,Strafford,126552,67805,32540,9.5,69103,38.1,17.8,78.9,3.9,20.0,9.3,5,0,78484,0.95
Missouri,St. Louis city,314867,38664,26739,25.0,152079,40.6,22.5,71.8,4.2,89.0,39.8,0,1,66954,0.83
Montana,Roosevelt,11218,39219,18030,29.1,3835,29.3,25.3,75.3,4.6,31.0,39.5,11,0,67339,0.68
Illinois,Macoupin,45960,53890,27255,13.3,20963,31.0,17.3,82.5,5.2,16.0,20.9,10,0,75018,0.80
Virginia,Rockbridge,22440,53918,31534,15.6,10267,34.3,16.8,82.2,7.5,13.0,23.8,9,0,68849,0.94
North Carolina,Craven,103374,49391,26830,15.4,40286,33.1,20.4,81.0,3.1,27.0,25.7,6,0,78781,0.88
Utah,Box Elder,52182,58835,22808,10.2,22319,31.5,14.4,77.7,4.0,19.0,13.0,11,1,69419,0.73
Virginia,Smyth,31298,40544,22319,17.4,12817,27.3,21.3,85.8,3.0,23.0,23.8,7,0,64916,0.94
